Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
whatismyscreenresolution.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
str8guysecrets.tumblr.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
amalric.fr,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
keplergrp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
i24.cc,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
fulltimejobfromhome.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
hazaveh.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tut-foto.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
unbeatablesale.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bolchile.cl,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
shopbot.com.my,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
feiyang.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
lascalaw.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ifix.net.cn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
howtocatchanyfish.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
musbizusblog.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
beonpush.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
supa.sk,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tallinkhotels.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ieee-iccc.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
redwerk.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
cloudlakes.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
allaboutlearningpress.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
tdtomdavies.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
linesis.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
i-house.com.tw,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ewa.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
3ayzen-nakol.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
duarte.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ntdtv.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
myanmar-responsiblebusiness.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
jean-georges.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
driving-school.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
lowaniot.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
mathemevast.com,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
ruuzu.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
npfrate.ru,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
autismtreatmentcenter.org,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
benpakulski.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
worldbtob.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
designwizard.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
carview.dev,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
kirara.st,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
mauricelargeron.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
photoplusexpo.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
planetshakers.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
