Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
center-paypal-resolution-com.cgi-bin.dispatch98az7a98zd4a89dispatch.siir.fr,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
bit.ly,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1
ekriswebshop.nl,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
itaupersonnakite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
esxcc.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
motors.shop.ebay.com-cars-trucks-97434436551.itm31.info,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
ros-realty.com,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1
bussiness.10017.kingdream.kz,0,1,0,3,0,0,0,0,1,1,1,1,1,1,1
'9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
arthome.com.br,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
paypal.com.us.webscrlcmdl.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d9273303713ba313.5885d80a13c0db1f8e263663d3f.aee811d01j111yh0111isl153364wxekhteamindexfo100011s.digicozum.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
'update-informations010.creativeplaythings.com.au,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
aconteceempetropolis.com.br,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cgi.bin.searchscr.cmd.sitewide.search.26598745369872222222369800000000000259844.siyasivideolar.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
tech-pill.com,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1
cib.unab.cl,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
antaradms.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
bikramyogahampden.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
dreamsbridallasvegas.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
secure.runescape.com.uuus.asia,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
secure.runescape.rs,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
'www.zlatarababic.rs,0,0,1,7,0,0,0,0,1,1,1,1,1,1,1
contactme.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
sos-sms.net,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
